,features,importance
28,initial_quantity,0.14435096
357,listing_type_id_free,0.11423004
0,accepts_mercadopago,0.06592752
4,title_new,0.030973667
7,warranty_yes,0.029615415
3,free_shipping,0.027623843
30,buying_mode_buy_it_now,0.025093382
5,title_usado,0.02328554
346,seller_address_state_AR-U,0.01986073
26,MLAWT,0.018338585
1,automatic_relist,0.013170057
298,seller_address_city_TUxBQlJFVDgyMDVa,0.011915631
361,listing_type_id_gold_special,0.01129718
205,seller_address_city_TUxBQ1LNTzc4N2Fm,0.010191034
263,seller_address_city_TUxBQk5VRTc3MTZa,0.01010883
349,seller_address_state_AR-X,0.008047932
187,seller_address_city_TUxBQ1BJTDQ3NDE,0.008027197
367,tags_no_list_dragged_bids_and_visits,0.007943902
359,listing_type_id_gold_premium,0.007324365
157,seller_address_city_TUxBQ0lUVTNjNDFm,0.007097751
281,seller_address_city_TUxBQkZMTzMwNzRa,0.006852496
355,status_paused,0.0068249954
295,seller_address_city_TUxBQlBBVDI0ODFa,0.006599353
262,seller_address_city_TUxBQk1PTjUxOTJa,0.006558098
47,seller_address_city_TUxBQ01BUjU2MGMw,0.0064584785
11,variations_new,0.0063849343
224,seller_address_city_TUxBQ1NBTjgxODQ,0.006290108
366,mode_not_specified,0.0059679034
12,official_store_id_new,0.005923685
27,base_price,0.0058458373
23,MLAVE,0.0057755425
15,MLACD,0.0056468314
297,seller_address_city_TUxBQlJFQzkyMTVa,0.0056176377
260,seller_address_city_TUxBQk1BVDMwMDJa,0.0055004363
356,listing_type_id_bronze,0.005453492
291,seller_address_city_TUxBQlBBTDgwMjla,0.0052136057
9,video_id_new,0.0048645157
316,seller_address_city_TUxBQlZJTDcwOTla,0.004858642
312,seller_address_city_TUxBQlZJTDQyMjBa,0.00477099
6,warranty_no,0.0047008493
302,seller_address_city_TUxBQlNBTjgzMjRa,0.0046953904
14,MLABC,0.0045286184
21,MLAOT,0.0044499314
80,seller_address_city_TUxBQ0JFUjYyYWU3,0.0044396566
271,seller_address_city_TUxBQkJFTDcyNTJa,0.0043794266
253,seller_address_city_TUxBQ1ZJQ2E3MTQz,0.0043541216
267,seller_address_city_TUxBQkJBTDMxMDZa,0.0042627826
282,seller_address_city_TUxBQkZMTzg5MjFa,0.0042500757
352,status_active,0.0042049857
330,seller_address_state_AR-C,0.0040166234
336,seller_address_state_AR-J,0.003974303
293,seller_address_city_TUxBQlBBUjUyOTZa,0.003955952
8,attributes_new,0.0039143506
25,MLAWC,0.0038469164
201,seller_address_city_TUxBQ1JPUzg1Yjg3,0.0037003113
17,MLAMC,0.0036118813
362,listing_type_id_silver,0.0036060272
146,seller_address_city_TUxBQ0dFTmVyYWxz,0.003565782
315,seller_address_city_TUxBQlZJTDc4MDda,0.003544661
365,mode_me2,0.0035300772
167,seller_address_city_TUxBQ0xBUGxhdGE,0.0035013815
303,seller_address_city_TUxBQlNBTjkwNTZa,0.0034601034
266,seller_address_city_TUxBQkFMTTMwNTBa,0.0034591614
61,seller_address_city_TUxBQ01PUmViMTE3,0.0033681632
103,seller_address_city_TUxBQ0NBUzE3NTU5Mg,0.0033010787
287,seller_address_city_TUxBQlBBTDI1MTVa,0.0032925254
358,listing_type_id_gold,0.003250243
223,seller_address_city_TUxBQ1NBTjg4ZmJk,0.0031569568
301,seller_address_city_TUxBQlNBTjgxMzNa,0.0031507956
41,seller_address_city_QVItWFZpbGxhIE1hcg,0.0030859492
53,seller_address_city_TUxBQ01FUmUyYWZl,0.0030277192
306,seller_address_city_TUxBQlZJTDE2MDBa,0.0030042282
328,seller_address_state_AR-A,0.002971676
154,seller_address_city_TUxBQ0hVUmxpbmdo,0.0029592135
74,seller_address_city_TUxBQ0FWRTc5OTQ1,0.0029179587
283,seller_address_city_TUxBQkxBQjk1ODJa,0.0028789167
279,seller_address_city_TUxBQkNPTDI3NDNa,0.0028389494
274,seller_address_city_TUxBQkJPRTQ0OTRa,0.0028097478
241,seller_address_city_TUxBQ1RJRzk0ZjQw,0.0027382902
181,seller_address_city_TUxBQ1BBUmI5Njhh,0.0026810654
370,tags_no_list_no_tags,0.002663859
109,seller_address_city_TUxBQ0NISTc3MjA,0.002621254
226,seller_address_city_TUxBQ1NBTm1pZ3VlbA,0.002620665
363,mode_custom,0.0025729213
343,seller_address_state_AR-R,0.0025676214
344,seller_address_state_AR-S,0.002555613
348,seller_address_state_AR-W,0.0025413823
268,seller_address_city_TUxBQkJBUjM0MDha,0.00247618
246,seller_address_city_TUxBQ1RSRTMxODE5NA,0.0024521807
294,seller_address_city_TUxBQlBBUjYwMzZa,0.0024363596
339,seller_address_state_AR-M,0.0024125704
60,seller_address_city_TUxBQ01PUmI1NTBj,0.0024013773
2,local_pick_up,0.0023324771
22,MLATB,0.0023248924
90,seller_address_city_TUxBQ0NBUDFmNDY3,0.0023038958
162,seller_address_city_TUxBQ0xBTWF0YW56,0.0022763498
276,seller_address_city_TUxBQkNBQjM4MDda,0.002264216
76,seller_address_city_TUxBQ0JBSDI0OTNk,0.0022175766
32,seller_address_city_,0.0021825968
285,seller_address_city_TUxBQkxJTjEzNTha,0.0021820052
264,seller_address_city_TUxBQk7a0TcwOTRa,0.0020883
163,seller_address_city_TUxBQ0xBTmJjYzE4,0.0020807276
329,seller_address_state_AR-B,0.0020645333
178,seller_address_city_TUxBQ0xPTWMwNjk3,0.002054147
84,seller_address_city_TUxBQ0JSQTk0Mjg,0.0020024534
134,seller_address_city_TUxBQ0ZMTzYyNTZl,0.0019896892
13,MLAAM,0.0019865914
292,seller_address_city_TUxBQlBBUjQ1NDda,0.0019771284
19,MLAMP,0.0019685975
369,tags_no_list_good_quality_thumbnail,0.001957105
95,seller_address_city_TUxBQ0NBUGNiZGQx,0.001954491
18,MLAMO,0.0019375753
320,seller_address_city_TUxBV2lsZGU,0.0019287129
29,buying_mode_auction,0.0019181131
345,seller_address_state_AR-T,0.0018120294
91,seller_address_city_TUxBQ0NBUDNhM2Jh,0.0017928275
368,tags_no_list_dragged_visits,0.001711425
277,seller_address_city_TUxBQkNIQTM5NjBa,0.0016591232
296,seller_address_city_TUxBQlBVRTQ5NjBa,0.0016355225
115,seller_address_city_TUxBQ0NPTmVkMzRm,0.0016106035
222,seller_address_city_TUxBQ1NBTjg3Yjg5,0.0015741026
216,seller_address_city_TUxBQ1NBTjQ0ZWIy,0.0015329777
311,seller_address_city_TUxBQlZJTDQ4MzBa,0.0015005579
232,seller_address_city_TUxBQ1NBTmMyZjY5,0.0014843374
34,seller_address_city_QVItU1ZlbmFkbyBUdWVydG8,0.0014759612
98,seller_address_city_TUxBQ0NBUGVlMjc3,0.0014450469
342,seller_address_state_AR-Q,0.0014344812
308,seller_address_city_TUxBQlZJTDI3MDJa,0.0013853415
299,seller_address_city_TUxBQlNBQTM3Mzda,0.0013765749
217,seller_address_city_TUxBQ1NBTjU4NmU3,0.0013610972
319,seller_address_city_TUxBQzlERTU5MTA,0.0013456588
300,seller_address_city_TUxBQlNBTjEyMjNa,0.0013402958
64,seller_address_city_TUxBQ05FVXF1ZW4,0.0013040877
288,seller_address_city_TUxBQlBBTDg1NjJa,0.0012899988
332,seller_address_state_AR-E,0.0012712756
338,seller_address_state_AR-L,0.0012535829
261,seller_address_city_TUxBQk1PTjE2OTBa,0.0011563397
331,seller_address_state_AR-D,0.0011448871
130,seller_address_city_TUxBQ0VTVGViYW5l,0.0011363901
238,seller_address_city_TUxBQ1RBTjUxMTE,0.0011350531
129,seller_address_city_TUxBQ0VTQzQ3YTc0,0.0010724191
284,seller_address_city_TUxBQkxBUzIxNTJa,0.0010573374
164,seller_address_city_TUxBQ0xBU2YzZWNh,0.001027312
179,seller_address_city_TUxBQ0xVSjI0NTE,0.0010143608
265,seller_address_city_TUxBQkFHUjk3NjJa,0.0009606404
193,seller_address_city_TUxBQ1FVSWI1MzY,0.00092341687
94,seller_address_city_TUxBQ0NBUDZjNWY4,0.0009209942
44,seller_address_city_TUxBQ01BSWEyMzA,0.00087752024
221,seller_address_city_TUxBQ1NBTjdmNmMy,0.0008215291
313,seller_address_city_TUxBQlZJTDQyMjFa,0.00078817847
314,seller_address_city_TUxBQlZJTDYzNzZa,0.00078424177
305,seller_address_city_TUxBQlZFUjY3MDFa,0.0007793883
10,deal_ids_new,0.0007686472
40,seller_address_city_QVItWFNhbiBGcmFuY2lzY28,0.0007613176
309,seller_address_city_TUxBQlZJTDM3Mzda,0.00074644986
185,seller_address_city_TUxBQ1BFUjkwNjY,0.0007275716
188,seller_address_city_TUxBQ1BJTmM0NmE5,0.00072428
50,seller_address_city_TUxBQ01BUmU2ZjEx,0.0007213181
24,MLAVS,0.0007200236
333,seller_address_state_AR-F,0.0007147291
132,seller_address_city_TUxBQ0VaRWl6YQ,0.00071193674
45,seller_address_city_TUxBQ01BTHZpbmFz,0.0006972518
87,seller_address_city_TUxBQ0NBTjk4NTM,0.00068083254
65,seller_address_city_TUxBQ09CRTljZjZk,0.0006330269
256,seller_address_city_TUxBQ1ZJTGU4OGM3,0.00062888575
158,seller_address_city_TUxBQ0pPU2VjcGF6,0.0005972998
231,seller_address_city_TUxBQ1NBTmIyM2M2,0.00056808285
340,seller_address_state_AR-N,0.00056365144
335,seller_address_state_AR-H,0.0005519917
160,seller_address_city_TUxBQ0pVTjE5NjM,0.0005002326
341,seller_address_state_AR-P,0.0004982935
113,seller_address_city_TUxBQ0NPTDdlNmZl,0.00046613454
46,seller_address_city_TUxBQ01BUjNmZDhl,0.00046414597
49,seller_address_city_TUxBQ01BUjk5Njc,0.00046405973
353,status_closed,0.00045364472
270,seller_address_city_TUxBQkJFTDU5NzNa,0.0004480346
75,seller_address_city_TUxBQ0FaVTgxMjA,0.0004346175
37,seller_address_city_QVItUkNpcG9sbGV0dGk,0.00042371935
228,seller_address_city_TUxBQ1NBTmEzYjlm,0.00041752876
33,seller_address_city_QVItRFZpbGxhIE1lcmNlZGVz,0.0004082915
244,seller_address_city_TUxBQ1RSRTEwNDE,0.00037656887
92,seller_address_city_TUxBQ0NBUDQ5MDI5,0.00036529734
278,seller_address_city_TUxBQkNPRzY5MTZa,0.000361125
213,seller_address_city_TUxBQ1NBTjM1MDlk,0.00035687114
78,seller_address_city_TUxBQ0JBUjg3ODU,0.00035634165
147,seller_address_city_TUxBQ0dPRDIyMDlm,0.00034968083
79,seller_address_city_TUxBQ0JFUjM2OTI,0.00034959454
127,seller_address_city_TUxBQ0VOUzc1MDM,0.00033570075
286,seller_address_city_TUxBQlBBTDE5ODla,0.000333476
351,seller_address_state_AR-Z,0.00029201625
350,seller_address_state_AR-Y,0.000266597
321,seller_address_city_TuxBQ0NBUGNiZGQx,0.00025309646
289,seller_address_city_TUxBQlBBTDg3MDda,0.00023976353
325,seller_address_city_TuxBQlZFUjY3MDFa,0.00021061471
334,seller_address_state_AR-G,0.00019528311
337,seller_address_state_AR-K,0.00018464868
323,seller_address_city_TuxBQ0xBWmI3M2Q3,0.00018427297
96,seller_address_city_TUxBQ0NBUGNoYWNv,0.00018110317
16,MLADC,0.00017929402
141,seller_address_city_TUxBQ0dFTjY4NTg,0.0001585578
209,seller_address_city_TUxBQ1NBTjExMTU,0.00013485929
63,seller_address_city_TUxBQ05FQzQ0NTY,0.00011012429
247,seller_address_city_TUxBQ1RSRTQxMTI,0.0
249,seller_address_city_TUxBQ1RVUDk3Y2Nl,0.0
364,mode_me1,0.0
245,seller_address_city_TUxBQ1RSRTExMTI,0.0
242,seller_address_city_TUxBQ1RPQTc2ZWQ0,0.0
240,seller_address_city_TUxBQ1RFUmJmYmYy,0.0
250,seller_address_city_TUxBQ1VSVTU2ZWY1,0.0
243,seller_address_city_TUxBQ1RPUjI0OTI,0.0
251,seller_address_city_TUxBQ1VTSDQ0ZjFk,0.0
248,seller_address_city_TUxBQ1RVTjk4YjBm,0.0
272,seller_address_city_TUxBQkJFTDk4MDRa,0.0
252,seller_address_city_TUxBQ1ZFUmIzZmI2,0.0
254,seller_address_city_TUxBQ1ZJQzljNDZh,0.0
307,seller_address_city_TUxBQlZJTDI1ODla,0.0
310,seller_address_city_TUxBQlZJTDM5MjZa,0.0
304,seller_address_city_TUxBQlZFTDIwNDha,0.0
317,seller_address_city_TUxBQzI1RDIwMzQ,0.0
318,seller_address_city_TUxBQzJERWFicmls,0.0
322,seller_address_city_TuxBQ0NBUGVlMjc3,0.0
324,seller_address_city_TuxBQ1NBTmY1OWQ,0.0
326,seller_address_city_TuxBQlZJTDQyMjFa,0.0
327,seller_address_state_,0.0
290,seller_address_city_TUxBQlBBTDg3OTha,0.0
280,seller_address_city_TUxBQkNPTjExMDBa,0.0
275,seller_address_city_TUxBQkJPVDQ2NTFa,0.0
273,seller_address_city_TUxBQkJFTDkwNjNa,0.0
347,seller_address_state_AR-V,0.0
269,seller_address_city_TUxBQkJFTDU0ODda,0.0
354,status_not_yet_active,0.0
360,listing_type_id_gold_pro,0.0
259,seller_address_city_TUxBQ1pBUjQ1OTM,0.0
258,seller_address_city_TUxBQ1pBUGQ4MmEw,0.0
257,seller_address_city_TUxBQ1lFUjgyOWU0,0.0
255,seller_address_city_TUxBQ1ZJTGNkYTc1,0.0
239,seller_address_city_TUxBQ1RBUDk1NTk,0.0
186,seller_address_city_TUxBQ1BJTDE3NDk,0.0
237,seller_address_city_TUxBQ1NJTTQwMDQ,0.0
114,seller_address_city_TUxBQ0NPTGE4MmU,0.0
93,seller_address_city_TUxBQ0NBUDVmYTM5,0.0
97,seller_address_city_TUxBQ0NBUGQ3OWQ5,0.0
99,seller_address_city_TUxBQ0NBUjJmZDQx,0.0
100,seller_address_city_TUxBQ0NBUjQ1MTE,0.0
101,seller_address_city_TUxBQ0NBUjc2Mzc,0.0
102,seller_address_city_TUxBQ0NBUjgwNjE,0.0
104,seller_address_city_TUxBQ0NBVWVmNA,0.0
105,seller_address_city_TUxBQ0NIQTE1OTU,0.0
106,seller_address_city_TUxBQ0NIQTI5MTkx,0.0
107,seller_address_city_TUxBQ0NIQTMzNjQw,0.0
108,seller_address_city_TUxBQ0NIQTkwNjU,0.0
110,seller_address_city_TUxBQ0NISTcwYmFk,0.0
111,seller_address_city_TUxBQ0NISWRhYzBm,0.0
112,seller_address_city_TUxBQ0NPTDI0MDA,0.0
116,seller_address_city_TUxBQ0NPUDM4ODM,0.0
88,seller_address_city_TUxBQ0NBUDExMTI,0.0
117,seller_address_city_TUxBQ0NPUjI0ODI,0.0
118,seller_address_city_TUxBQ0NPUjIyNTc,0.0
119,seller_address_city_TUxBQ0NPUjQwMDE,0.0
120,seller_address_city_TUxBQ0NSVWVjOGJh,0.0
121,seller_address_city_TUxBQ0RBSTUyMjg,0.0
122,seller_address_city_TUxBQ0RFUzQzYWNk,0.0
123,seller_address_city_TUxBQ0RJQTk5YzA2,0.0
124,seller_address_city_TUxBQ0RPTDI0MjU,0.0
125,seller_address_city_TUxBQ0VMRDUzMjgy,0.0
126,seller_address_city_TUxBQ0VMWjNkZGY4,0.0
128,seller_address_city_TUxBQ0VTQ2FsYW50ZQ,0.0
131,seller_address_city_TUxBQ0VYQTQ0NjU,0.0
133,seller_address_city_TUxBQ0ZFRDJjMGFj,0.0
135,seller_address_city_TUxBQ0ZPUjNmZWYz,0.0
89,seller_address_city_TUxBQ0NBUDFmMzcw,0.0
86,seller_address_city_TUxBQ0NBTTQ1Mjc,0.0
236,seller_address_city_TUxBQ1NBTnNhbHZh,0.0
57,seller_address_city_TUxBQ01PTjk0NDM,0.0
20,MLAMS,0.0
31,buying_mode_classified,0.0
35,seller_address_city_QVItUVBsb3R0aWVy,0.0
36,seller_address_city_QVItUkNpbmNvIFNhbHRvcw,0.0
38,seller_address_city_QVItWEFsdGEgR3JhY2lh,0.0
39,seller_address_city_QVItWENhcGlsbGEgZGVsIE1vbnRl,0.0
42,seller_address_city_TUxBQ01BRzYxMjU,0.0
43,seller_address_city_TUxBQ01BSTMzMDE,0.0
48,seller_address_city_TUxBQ01BUjYzZWE3,0.0
51,seller_address_city_TUxBQ01FUjM1OTc,0.0
52,seller_address_city_TUxBQ01FUmM0Yjdl,0.0
54,seller_address_city_TUxBQ01JUjczYTE4,0.0
55,seller_address_city_TUxBQ01PTjY0MzY,0.0
56,seller_address_city_TUxBQ01PTjc0ZTk1,0.0
58,seller_address_city_TUxBQ01PTjk2MDBj,0.0
85,seller_address_city_TUxBQ0NBTGMwYWZk,0.0
59,seller_address_city_TUxBQ01PTmRhMTU,0.0
62,seller_address_city_TUxBQ05BVjEwODk,0.0
66,seller_address_city_TUxBQ09ISGNmNzM2,0.0
67,seller_address_city_TUxBQ09MQTY2MTY,0.0
68,seller_address_city_TUxBQ09SwWI5NTFm,0.0
69,seller_address_city_TUxBQ0FETzY3Mjk,0.0
70,seller_address_city_TUxBQ0FHVWE1Yjkz,0.0
71,seller_address_city_TUxBQ0FMTWlyYW50,0.0
72,seller_address_city_TUxBQ0FQ0zMzNWU,0.0
73,seller_address_city_TUxBQ0FSUjM5OTg,0.0
77,seller_address_city_TUxBQ0JBTDk4NTE,0.0
81,seller_address_city_TUxBQ0JJRWRtYQ,0.0
82,seller_address_city_TUxBQ0JPTDc5MjI,0.0
83,seller_address_city_TUxBQ0JSQTgxMjU,0.0
136,seller_address_city_TUxBQ0dBSTIwMmEz,0.0
137,seller_address_city_TUxBQ0dFTjI1NTA,0.0
138,seller_address_city_TUxBQ0dFTjI1ODU,0.0
208,seller_address_city_TUxBQ1NBTDU2ODA,0.0
191,seller_address_city_TUxBQ1BVTjkyMmI4,0.0
192,seller_address_city_TUxBQ1FVSTdjMGI3,0.0
194,seller_address_city_TUxBQ1JBTTkwMTY,0.0
195,seller_address_city_TUxBQ1JBVzFjZWI0,0.0
196,seller_address_city_TUxBQ1JJVjI3MzM,0.0
197,seller_address_city_TUxBQ1JJVmNhOWUw,0.0
198,seller_address_city_TUxBQ1JJVmRjNmQx,0.0
199,seller_address_city_TUxBQ1JPSjk3NTU,0.0
200,seller_address_city_TUxBQ1JPUTQ1Mjc,0.0
202,seller_address_city_TUxBQ1LNT2E3Y2E5,0.0
203,seller_address_city_TUxBQ1LNT2IwZDRj,0.0
204,seller_address_city_TUxBQ1LNT2RiZTBj,0.0
206,seller_address_city_TUxBQ1NBQTU1NTA,0.0
207,seller_address_city_TUxBQ1NBTDIwNzA,0.0
210,seller_address_city_TUxBQ1NBTjI2NGMw,0.0
139,seller_address_city_TUxBQ0dFTjQzMDg,0.0
211,seller_address_city_TUxBQ1NBTjI2ZmFm,0.0
212,seller_address_city_TUxBQ1NBTjIzNDc,0.0
214,seller_address_city_TUxBQ1NBTjM3OTVl,0.0
215,seller_address_city_TUxBQ1NBTjNiNzdl,0.0
218,seller_address_city_TUxBQ1NBTjYzOGUz,0.0
219,seller_address_city_TUxBQ1NBTjc1MDE,0.0
220,seller_address_city_TUxBQ1NBTjc3NjQ,0.0
225,seller_address_city_TUxBQ1NBTjk0NDE,0.0
227,seller_address_city_TUxBQ1NBTmE2ZDlm,0.0
229,seller_address_city_TUxBQ1NBTmFudDM0,0.0
230,seller_address_city_TUxBQ1NBTmIwNDdm,0.0
233,seller_address_city_TUxBQ1NBTmQ4N2U4,0.0
234,seller_address_city_TUxBQ1NBTmY1OWQ,0.0
235,seller_address_city_TUxBQ1NBTmYwZTdl,0.0
190,seller_address_city_TUxBQ1BSRXNpZGVu,0.0
189,seller_address_city_TUxBQ1BPQ2U1ZDQy,0.0
184,seller_address_city_TUxBQ1BFSDg3OGVm,0.0
183,seller_address_city_TUxBQ1BFSDMwODM,0.0
140,seller_address_city_TUxBQ0dFTjU2MTY,0.0
142,seller_address_city_TUxBQ0dFTjg2NDY0,0.0
143,seller_address_city_TUxBQ0dFTmI4MzRj,0.0
144,seller_address_city_TUxBQ0dFTmJkYTky,0.0
145,seller_address_city_TUxBQ0dFTmVhNjE5,0.0
148,seller_address_city_TUxBQ0dPWTkwNTk4,0.0
149,seller_address_city_TUxBQ0dSQTU4Nzc,0.0
150,seller_address_city_TUxBQ0dVQTI0Yjcw,0.0
151,seller_address_city_TUxBQ0dVQTYxNjk1,0.0
152,seller_address_city_TUxBQ0dVQTYyZTY2,0.0
153,seller_address_city_TUxBQ0dVQTg1OTE3,0.0
155,seller_address_city_TUxBQ0lHVTliYTA0,0.0
156,seller_address_city_TUxBQ0lUVTMwYmI2,0.0
159,seller_address_city_TUxBQ0pVQWM4MjE4,0.0
161,seller_address_city_TUxBQ0pVwTUyMmRh,0.0
165,seller_address_city_TUxBQ0xBUDIxODU,0.0
166,seller_address_city_TUxBQ0xBUDY1NzA,0.0
168,seller_address_city_TUxBQ0xBUzI5MTE,0.0
169,seller_address_city_TUxBQ0xBUzUxYzJk,0.0
170,seller_address_city_TUxBQ0xBVjcxNjJh,0.0
171,seller_address_city_TUxBQ0xBWjMyY2Jk,0.0
172,seller_address_city_TUxBQ0xBWjU3NDhi,0.0
173,seller_address_city_TUxBQ0xBWjY4Mjll,0.0
174,seller_address_city_TUxBQ0xBWmI3M2Q3,0.0
175,seller_address_city_TUxBQ0xFQTJjMWEw,0.0
176,seller_address_city_TUxBQ0xJTjU4Njg,0.0
177,seller_address_city_TUxBQ0xPQjgxNzk,0.0
180,seller_address_city_TUxBQ0xVSjRiOWZh,0.0
182,seller_address_city_TUxBQ1BBUzMxMDIx,0.0
371,tags_no_list_poor_quality_thumbnail,0.0
